,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Specialist Enchants,,,,,,,,,Protection,,,,,,Health,,,,,,Speed,,,,Armor Attribrutes,,,,,,,,,Weapon Base Stats,,,,,,Durability,,,,Melee Enchants,,,,,,,,,,,,,,Ranged Enchants,,,,,,,,,,,Tool Enchants,,,,,,,,,Water,,,,,,Misc.,,,,,,,,,,,,,Curses,,,,Epic Enchants,,,,,Indexing,,,,,Stored Values,
,Cartilage Cuirass,Isles,Artifact,Chestplate,Leather Chestplate,Remorse,,4,,"Melee Prot. 1
Blast Prot. 2",+4 Max Health,,"+10% Attack Damage
+10% Proj Damage",,Mending,,,,,,,,,,,,,,,,,,,1,,,2,,,+4,,,,,,,,,,+10%,,,,+10%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,20,,,12,39
,Chime of the Requiem,Isles,Artifact,Offhand,Bell,Remorse,3.5,,Shielding 1,,,,+15% Attack Damage,,,,,,,"Second Wind 1
Triage 2",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,12,39,,,,12,39
,Dragonbreath Repeater,Isles,Artifact,Crossbow,Crossbow,Remorse,,,,,,,,"6.0 Proj Damage
1.0 Proj Speed",Unbreaking 5,,"Point Blank 2
Fire Aspect 1
Quick Charge 3
Multishot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,5,,,,,,,,,,,,,,,,,,,2,1,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,12,39
,Dragonscale Greaves,Isles,Artifact,Leggings,Chainmail Leggings,Remorse,6.5,,Shielding 1,Fire Prot. 3,,,,,Unbreaking 6,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,12,39
,Failure of the Void,Isles,Artifact,Chestplate,Leather Chestplate,Remorse,,8.5,,,Anemia 2,,"+5% Magic Damage
+2 Thorns",,Unbreaking 12,,,,,Second Wind 2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,+5%,,,,+2,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,12,39,,,,12,39
,Iridium Breastplate,Isles,Artifact,Chestplate,Iron Chestplate,Remorse,4.5,,Poise 1,Melee Prot. 1,,,"+10% Attack Damage
+20% Attack Speed",,Unbreaking 5,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,+10%,,+20%,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,+20%,12,39
,Iridium Greaves,Isles,Artifact,Leggings,Iron Leggings,Remorse,5,,,,"+2 Max Health
Regen 1",,,,Unbreaking 5,,,,,Second Wind 2,,,,,,,,,,,,,,,,,,,,+2,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,12,39,10,,,12,39
,Liminal Sabatons,Isles,Artifact,Boots,Iron Boots,Remorse,6.5,,,"Projectile Prot. 1
Magic Prot. 1
Blast Prot. 1
Fire Prot. 1
Feather Falling 1",,,+5% Magic Damage,,Unbreaking 5,,,,,Aptitude 1,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,+5%,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,12,39,,,,12,39
,Mask of the Interim,Isles,Artifact,Helmet,Iron Helmet,Remorse,,6,,Melee Prot. 2,,,"+20% Attack Damage
+10% Proj Damage",,Unbreaking 5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,+20%,,,,+10%,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,12,39
,Muranic Urn,Isles,Artifact,Offhand,Dragon Breath,Remorse,,7,,,,+7% Speed,"+15% Magic Damage
+10% Proj Damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+7%,,,,,,+15%,+10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,+7%,,12,39
,Osseous Mask,Isles,Artifact,Helmet,Leather Helmet,Remorse,5.5,,,Blast Prot. 1,"+2 Max Health
Regen 2",,+3 Thorns,,Mending,,,,,,,,,,,,,,,,,,,,,,1,,,+2,,2,,,,,,,,,,,,,,,+3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,10,,,12,39
,Rites of Eternity,Isles,Artifact,Offhand,Flower Banner Pattern,Remorse,,,,,"+5 Max Health
Regen 1
Sustenance 2",,,,,,,,,Triage 3,,,,,,,,,,,,,,,,,,,,+5,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,12,39,25,,,12,39
,Talon of the Great Beast,Isles,Artifact,Boots,Diamond Boots,Remorse,8.5,,,Fire Prot. 2,,,"+2.0 Knockback Res.
+2 Thorns",,Unbreaking 1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,+2.0,+2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,12,39
,Mist's Wake,Isles,Epic,Boots,Leather Boots,Mist,,6.5,Reflexes 1,,,+10% Speed,,,Unbreakable,,,,,Regicide 1,,,,,,,,,,1,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,13,38,,+10%,,13,38
,Aberration's Amulet,Isles,Artifact,Offhand,Nether Star,Mist,3,,,,Regen 1,,+25% Magic Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,+25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,,,12,38
,Auric Tiara,Isles,Artifact,Helmet,Golden Helmet,Mist,-100,-100,,,+110% Max Health,,"+8% Attack Damage
+8% Magic Damage
+8% Proj Damage",,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,,+110%,,,,,,,,,+8%,,,+8%,+8%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,137.5,,,12,38
,Downfall,Isles,Artifact,Pickaxe,Golden Pickaxe,Mist,,,,,,+15% Speed,,"6.0 Attack Damage
1.2 Attack Speed","Unbreaking 1
Mending",,,Efficiency 1,,Intuition,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,6.0,1.2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,12,38,,+15%,,12,38
,Elder's Cloak,Isles,Artifact,Chestplate,Chainmail Chestplate,Mist,6,,,Projectile Prot. 2,,+10% Speed,+15% Magic Damage,,Unbreaking 3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,+10%,,,,,,+15%,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,+10%,,12,38
,Gilded Quiver,Isles,Artifact,Offhand,Blaze Rod,Mist,,5,,,+2 Max Health,,"+20% Proj Damage
+15% Proj Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,+2,,,,,,,,,,,,,,+20%,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,10,,,12,38
,Goddess' Sandals,Isles,Artifact,Boots,Golden Boots,Mist,6.5,,,,Sustenance 2,+10% Speed,+5% Magic Damage,,Unbreaking 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,+10%,,,,,,+5%,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,+10%,,12,38
,Heart of Greed,Isles,Artifact,Offhand,Heart of the Sea,Mist,,,,"Melee Prot. 1
Projectile Prot. 2
Magic Prot. 2
Blast Prot. 2
Fire Prot. 2","+4 Max Health
Regen 1",,,,,,,,,Intuition,,,,,,,,,,,,,,1,2,2,2,2,,+4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,12,38,20,,,12,38
,Marauder's Haze,Isles,Artifact,Scythe,Golden Hoe,Mist,,,Reflexes 1,Melee Prot. 1,,,,"9.0 Attack Damage
2.0 Attack Speed",Unbreaking 50,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,,,12,38
,Treasured Rapier,Isles,Artifact,Mainhand Sword,Iron Sword,Mist,,,,,Life Drain 2,,,"11.5 Attack Damage
1.4 Attack Speed",Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,11.5,1.4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,,,12,38
,Unwavering Will,Isles,Artifact,Mainhand Sword,Iron Sword,Mist,,,Ethereal 1,,,,+2.0 Knockback Res.,"10.0 Attack Damage
1.6 Attack Speed",Unbreaking 4,Decay 2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,+2.0,,,,10.0,1.6,,,,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,,,12,38
,Varcosa's Breeches,Isles,Artifact,Leggings,Leather Leggings,Mist,,7,Tempo 1,Feather Falling 2,,,,,Unbreaking 10,,,,Depth Strider 2,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,12,38,,,,12,38
,Water's Embrace,Isles,Artifact,Offhand,Gold Nugget,Mist,,3.5,Ethereal 1,Fire Prot. 2,Sustenance 1,,,,,,,,"Abyssal 1
Gills",,,,,,,,,,1,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,,,12,38
,Black Mist,Isles,Uncommon,Consumable,Potion,Mist,,,,,,,,,,,,Infinity,,,,,Kills you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,38,,,,7,38
,Ghost Pirate's Hook,Isles,Uncommon,Offhand,Flint and Steel,Mist,,,,"Melee Prot. 2
Projectile Prot. 2
Fire Prot. 2",+2 Max Health,,+5% Attack Damage,,,,,,,Inferno 2,,,,,,,,,,,,,,2,2,,,2,,+2,,,,,,,,,,+5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,7,38,10,,,7,38
,Swoard,Isles,Uncommon,Mainhand Sword,Wooden Sword,Mist,,,,,,,,"16.0 Attack Damage
0.6 Attack Speed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,38,,,,7,38
,Blackthread Whip,Isles,Artifact,Offhand Sword,Stone Sword,Horseman,,1,"Ethereal 1
Reflexes 1",,,-10% Speed,+30% Attack Damage,,Unbreakable,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,-10%,,,+30%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,,-10%,,12,37
,Bound Spirit's Tunic,Isles,Artifact,Chestplate,Leather Chestplate,Horseman,3,,,"Melee Prot. 6
Feather Falling 2",,+13% Speed,,,Mending,,,,,,,,,,,,,,,,,,,6,,,,,2,,,,,,,,+13%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,,+13%,,12,37
,Chains from Below the Waves,Isles,Artifact,Leggings,Chainmail Leggings,Horseman,5,,,,Life Drain 2,,"+15% Attack Damage
+15% Attack Speed",,Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,+15%,,+15%,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,,,+15%,12,37
,Daredevil's Wake,Isles,Artifact,Boots,Leather Boots,Horseman,,2,,Feather Falling 1,+5 Max Health,+10% Speed,+25% Attack Damage,,Mending,,,,,,,,,,,,,,,,,,,,,,,,1,+5,,,,,,,+10%,,,+25%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,25,+10%,,12,37
,Firefly's Rush,Isles,Artifact,Offhand Sword,Iron Sword,Horseman,,,,Fire Prot. 2,"+4 Max Health
+20% Max Health",,"+5% Attack Damage
+10% Magic Damage",,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,2,,+4,+20%,,,,,,,,,+5%,,,+10%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,45,,,12,37
,Ghastcaller's Gunblade,Isles,Artifact,Crossbow,Crossbow,Horseman,,,,,,,,"10.0 Attack Damage
2.0 Attack Speed
12.0 Proj Damage
1.2 Proj Speed",Unbreaking 2,,Quick Charge 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,12.0,1.2,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,,,,12,37
,Horseman's Head,Isles,Artifact,Helmet,Player Head,Horseman,,4.5,Tempo 1,,,+15% Speed,"+15% Attack Damage
+15% Attack Speed",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,+15%,,,+15%,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,,+15%,+15%,12,37
,The Eternal Mist,Isles,Artifact,Offhand Shield,Shield,Horseman,,1,Ethereal 2,,,+10% Speed,+10% Attack Damage,,Unbreaking 3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,+10%,,,+10%,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,37,,+10%,,12,37
,Reaper's Boots,Isles,Uncommon,Boots,Leather Boots,Horseman,6.5,,,Projectile Prot. 2,,,+5% Attack Damage,,Mending,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,37,,,,7,37
,Reaper's Cloak,Isles,Uncommon,Chestplate,Leather Chestplate,Horseman,6.5,,,Projectile Prot. 2,,,+5% Attack Damage,,Mending,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,37,,,,7,37
,Reaper's Hood,Isles,Uncommon,Helmet,Leather Helmet,Horseman,6.5,,,Projectile Prot. 2,,,+5% Attack Damage,,Mending,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,37,,,,7,37
,Reaper's Robes,Isles,Uncommon,Leggings,Leather Leggings,Horseman,6.5,,,Projectile Prot. 2,,,+5% Attack Damage,,Mending,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,+5%,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,37,,,,7,37
,Remnant of the Rose,Isles,Epic,Misc,Red Shulker Box,Rush,,,,,,,,,,,,,,,,,Portable Ender Chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,36,,,,13,36
,Bloodmoon Chains,Isles,Artifact,Leggings,Chainmail Leggings,Rush,6.5,,Steadfast 1,,,Adrenaline 1,,,Mending,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,,,12,36
,Crown of Chains,Isles,Artifact,Helmet,Chainmail Helmet,Rush,8,,Inure 2,,"-3 Max Health
Anemia 2",,,,Unbreaking 3,,,,,,,,,,,,2,,,,,,,,,,,,,-3,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,-15,,,12,36
,Demon's Scar,Isles,Artifact,Scythe,Stone Hoe,Rush,,,Steadfast 1,,Sustenance 2,,,"9.0 Attack Damage
2.0 Attack Speed",Unbreaking 10,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,9.0,2.0,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,,,12,36
,Devouring Wind,Isles,Artifact,Axe,Golden Axe,Rush,,3,,,,,,"14.5 Attack Damage
1.1 Attack Speed",Unbreaking 35,Thunder Aspect 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,1.1,,,,35,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,,,12,36
,Harmony's End,Isles,Artifact,Mainhand Sword,Stone Sword,Rush,,,,,,,,"16.0 Attack Damage
1.0 Attack Speed",Unbreaking 10,,,,,Regicide 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,1.0,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,12,36,,,,12,36
,Legionis,Isles,Artifact,Bow,Bow,Rush,,,,,,,,"14.0 Proj Damage
0.6 Proj Speed",Unbreaking 2,,"Point Blank 8
Ice Aspect 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.6,,2,,,,,,,,,,,,,,,,,,,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,,,12,36
,Talaya's Decay,Isles,Artifact,Wand,Dead Bush,Rush,,,,,,,,"+55% Spell Power
4.5 Attack Damage
4.0 Attack Speed",,"Slayer 3
Duelist 3
Decay 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+55%,4.5,4.0,,,,,,,,,3,3,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,,,12,36
,Winter's March,Isles,Artifact,Boots,Iron Boots,Rush,6,,Inure 1,Feather Falling 3,,,,,Unbreaking 5,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,,,,12,36
,Colossal Sabatons,Isles,Artifact,Boots,Iron Boots,Delves,7,,,"Melee Prot. 2
Blast Prot. 2
Feather Falling 2",,,,,Unbreaking 4,,,,,,,,,,,,,,,,,,,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,35,,,,12,35
,Infernal Aegis,Isles,Artifact,Offhand Shield,Shield,Delves,4,,,"Fire Prot. 3
Feather Falling 1",,,+10% Magic Damage,,Unbreaking 4,,,,,Inferno 3,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,+10%,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,12,35,,,,12,35
,Leviathan Scales,Isles,Artifact,Leggings,Chainmail Leggings,Delves,6.5,,Inure 1,,,,,,Unbreaking 6,,,,"Abyssal 1
Gills",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,35,,,,12,35
,Shroud of Dread,Isles,Artifact,Chestplate,Leather Chestplate,Delves,,7.5,,,Life Drain 1,,,,Unbreaking 10,,,,,Regicide 1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,12,35,,,,12,35
,Specter's Visage,Isles,Artifact,Helmet,Player Head,Delves,,8,,Melee Prot. 2,-2 Max Health,,+15% Magic Damage,,,,,,,,,,,,,,,,,,,,,2,,,,,,-2,,,,,,,,,,,,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,35,-10,,,12,35
,Studded Gauntlet,Isles,Artifact,Offhand Sword,Iron Sword,Delves,,6,Reflexes 1,,,,+10% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,35,,,,12,35
,The Knight's Pledge,Isles,Artifact,Helmet,Player Head,Delves,4,,Steadfast 1,,+4 Max Health,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,35,20,,,12,35
,Tournament Longsword,Isles,Artifact,Mainhand Sword,Iron Sword,Delves,3,,,,,,,"11.0 Attack Damage
1.6 Attack Speed",Unbreaking 3,Duelist 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.6,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,35,,,,12,35
,Ward of Light,Isles,Uncommon,Mainhand,Totem of Undying,Delves,,,,,Regen 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,35,,,,7,35
,Dragonbone Dagger,Isles,Epic,Offhand Sword,Golden Sword,Carnival,,4,,,Regen 1,+0.02 Speed,+40% Attack Damage,,Unbreakable,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,+0.02,,,,+40%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,34,,+23%,,13,34
,Blitzkrieg,Isles,Artifact,Pickaxe,Iron Pickaxe,Carnival,,,,,,,,"4.0 Attack Damage
1.2 Attack Speed",Unbreaking 5,Knockback 3,,Efficiency 2,,Second Wind 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.2,,,,5,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,12,34,,,,12,34
,Guardian Angel,Isles,Artifact,Mainhand,Shield,Carnival,,1,,,Regen 2,+15% Speed,,,Unbreaking 2,Knockback 2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,+15%,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,34,,+15%,,12,34
,Pact of Punishment,Isles,Artifact,Offhand,Book,Carnival,3,,Poise 2,"Melee Prot. 2
Projectile Prot. 1",-25% Max Health,+15% Speed,"+15% Attack Damage
+10% Attack Speed",,,,,,,,,,,,,2,,,,,,,,2,1,,,,,,-25%,,,,,,+15%,,,+15%,,+10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,34,-31.25,+15%,+10%,12,34
